Waktu,id,Username,Text;
2021-06-17 17:01:13,1405571242707484676,AndreasYunianto07,b'RT @KAI121: Manusia memiliki potensi dan kesempatan yang sama. Jangan menyerah untuk terus berusaha mendapatkan yang terbaik.\n\nSelamat pagi\xe2\x80\xa6';
2021-06-17 14:59:21,1405540574120214536,Adria Sukma Jayana,b'RT @KAI121: Manusia memiliki potensi dan kesempatan yang sama. Jangan menyerah untuk terus berusaha mendapatkan yang terbaik.\n\nSelamat pagi\xe2\x80\xa6';
2021-06-17 13:28:11,1405517631306702853,Merza Gamal,b'Suatu hari di Kupang-Nusa Tenggara Timur.\n#merzagamal #jelajahnusantara #wonderfulindonesia #instatravelling @ Kupa\xe2\x80\xa6 https://t.co/AWLnPDUeAT';
2021-06-17 13:03:02,1405511301367930883,Alva,b'RT @Kemenparekraf: Udah nggak sabar kan buat kemBALI lagi? Ada yang udah sepik-sepik buat izin atasan ngantor dari Bali?\n\n#WorkfromBali\n#Di\xe2\x80\xa6';
2021-06-17 13:02:06,1405511070278590466,Pariwisata & Ekonomi Kreatif,b'Udah nggak sabar kan buat kemBALI lagi? Ada yang udah sepik-sepik buat izin atasan ngantor dari Bali?\xe2\x80\xa6 https://t.co/gPhdNAvlpi';
"2021-06-17 12:43:02,1405506271164264452,Mujiono,""b'RT @pesonaid_travel: Selamat pagi, Aku hanya ingin bilang.. Aku rindu Bali! #diindonesiaAja #WonderfulIndonesia https://t.co/GxqlvLy9Ta'""";
2021-06-17 12:00:16,1405495505698787334,Nareswari Aleeya,b'RT @Kemenparekraf: Dapatkan informasi terkini seputar serba-serbi Parekraf Tanah Air melalui akun Instagram Kemenparekraf.ri \n\nCus difollow\xe2\x80\xa6';
2021-06-17 08:50:46,1405447819515678720,Pariwisata & Ekonomi Kreatif,b'Dapatkan informasi terkini seputar serba-serbi Parekraf Tanah Air melalui akun Instagram Kemenparekraf.ri \n\nCus dif\xe2\x80\xa6 https://t.co/9gjjbfBCOr';
2021-06-17 08:30:45,1405442780621676546,AdventureLombok_Tour,b'Here the few reasons to visit Lombok. #wonderfulindonesia #adventurelombok #wonderfulland #lombok \n\xf0\x9f\x93\xb8 IG: wahego @ L\xe2\x80\xa6 https://t.co/daGVnqZZb0';
2021-06-17 07:32:33,1405428133189226497,Namikaze,b'RT @KAI121: Manusia memiliki potensi dan kesempatan yang sama. Jangan menyerah untuk terus berusaha mendapatkan yang terbaik.\n\nSelamat pagi\xe2\x80\xa6';
2021-06-17 07:08:28,1405422074806427649,Nana,b'RT @KAI121: Manusia memiliki potensi dan kesempatan yang sama. Jangan menyerah untuk terus berusaha mendapatkan yang terbaik.\n\nSelamat pagi\xe2\x80\xa6';
"2021-06-17 06:41:40,1405415327383494656,Agustin Peranginangin,""b'RT @Kemenparekraf: Geser untuk tau tips lengkapnya \xf0\x9f\x91\x89\xf0\x9f\x91\x89\xf0\x9f\x91\x89 \n\nYuk, sebarluaskan tips ini ke teman makan barengmu biar bisa saling jaga. Jangan l\xe2\x80\xa6'""";
